date,na1,na2,ra,dec,
 2022-Apr-01 00:00, , ,   258.91733,   12.26557,
 2022-Jul-01 00:00, , ,   258.46574,   12.42233,
 2022-Oct-01 00:00, , ,   258.26385,   12.16943,
 2023-Jan-01 00:00, , ,   258.76580,   12.01389,
 2023-Apr-01 00:00, , ,   259.00546,   12.26710,
 2023-Jul-01 00:00, , ,   258.56457,   12.42159,
 2023-Oct-01 00:00, , ,   258.36370,   12.17503,
 2024-Jan-01 00:00, , ,   258.85269,   12.02154,
 2024-Apr-01 00:00, , ,   259.08736,   12.27186,
 2024-Jul-01 00:00, , ,   258.65319,   12.41995,
 2024-Oct-01 00:00, , ,   258.46108,   12.17681,
 2025-Jan-01 00:00, , ,   258.94154,   12.02949,
 2025-Apr-01 00:00, , ,   259.16736,   12.27283,
 2025-Jul-01 00:00, , ,   258.74313,   12.41885,
 2025-Oct-01 00:00, , ,   258.55205,   12.18149,
 2026-Jan-01 00:00, , ,   259.02075,   12.03598,
 2026-Apr-01 00:00, , ,   259.24398,   12.27346,
 2026-Jul-01 00:00, , ,   258.82942,   12.41752,
 2026-Oct-01 00:00, , ,   258.63938,   12.18573,
 2027-Jan-01 00:00, , ,   259.09689,   12.04194,
 2027-Apr-01 00:00, , ,   259.31768,   12.27384,
 2027-Jul-01 00:00, , ,   258.91242,   12.41603,
 2027-Oct-01 00:00, , ,   258.72348,   12.18959,
 2028-Jan-01 00:00, , ,   259.17032,   12.04749,
 2028-Apr-01 00:00, , ,   259.38704,   12.27721,
 2028-Jul-01 00:00, , ,   258.98740,   12.41374,
 2028-Oct-01 00:00, , ,   258.80668,   12.19009,
 2029-Jan-01 00:00, , ,   259.24673,   12.05355,
 2029-Apr-01 00:00, , ,   259.45575,   12.27729,
 2029-Jul-01 00:00, , ,   259.06478,   12.41224,
 2029-Oct-01 00:00, , ,   258.88496,   12.19363,
 2030-Jan-01 00:00, , ,   259.31512,   12.05861,
 2030-Apr-01 00:00, , ,   259.52212,   12.27745,
 2030-Jul-01 00:00, , ,   259.13940,   12.41087,
 2030-Oct-01 00:00, , ,   258.96052,   12.19711,
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date. Calendar dates prior to 1582-Oct-15 are in the
Julian calendar system. Later calendar dates are in the Gregorian system.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
 'R.A._(ICRF), DEC_(ICRF),' =
  Astrometric right ascension and declination of the target center with
respect to the observing site (coordinate origin) in the reference frame of
the planetary ephemeris (ICRF). Compensated for down-leg light-time delay
aberration.

  Units: RA  in decimal degrees,  ddd.fffff{ffff}
         DEC in decimal degrees,  sdd.fffff{ffff}

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/hrzn_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov

*******************************************************************************
